gsr,heart_rate,temperature,emotion,median gsr,median heart_rate,median temp,date_time,id_user,gender
217,83,29.8,Angry,221,83,28.4,06/04/2022 14:24:54,12,M
217,83,29.8,Neutral,221,83,28.4,06/04/2022 14:24:54,12,M
222,83,28.3,Angry,221,83,28.4,06/04/2022 14:24:52,12,M
222,83,28.3,Angry,221,83,28.4,06/04/2022 14:24:52,12,M
222,83,28.3,Angry,221,83,28.4,06/04/2022 14:24:50,12,M
222,83,28.3,Neutral,221,83,28.4,06/04/2022 14:24:50,12,M
217,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:43,12,M
217,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:43,12,M
222,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:41,12,M
221,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:40,12,M
221,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:40,12,M
221,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:40,12,M
223,83,28.1,Neutral,221,83,28.4,06/04/2022 14:24:38,12,M
223,83,28.1,Neutral,221,83,28.4,06/04/2022 14:24:38,12,M
222,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:36,12,M
222,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:36,12,M
220,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:34,12,M
220,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:34,12,M
218,83,28.3,Sad,221,83,28.4,06/04/2022 14:24:33,12,M
218,83,28.3,Neutral,221,83,28.4,06/04/2022 14:24:33,12,M
217,83,28.3,Angry,221,83,28.4,06/04/2022 14:24:31,12,M
222,83,28.3,Angry,221,83,28.4,06/04/2022 14:24:25,12,M
222,83,28.3,Angry,221,83,28.4,06/04/2022 14:24:25,12,M
221,83,28.3,Angry,221,83,28.4,06/04/2022 14:24:24,12,M
221,83,28.3,Angry,221,83,28.4,06/04/2022 14:24:22,12,M
226,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:17,12,M
229,83,28.4,Angry,221,83,28.4,06/04/2022 14:24:15,12,M
227,83,28.4,Angry,221,83,28.4,06/04/2022 14:24:13,12,M
227,83,28.4,Angry,221,83,28.4,06/04/2022 14:24:13,12,M
227,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:11,12,M
227,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:11,12,M
226,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:10,12,M
223,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:08,12,M
222,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:06,12,M
220,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:04,12,M
221,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:02,12,M
221,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:01,12,M
221,83,28.1,Angry,221,83,28.4,06/04/2022 14:24:01,12,M
219,83,28.1,Neutral,221,83,28.4,06/04/2022 14:23:59,12,M
220,83,28.1,Angry,221,83,28.4,06/04/2022 14:23:57,12,M
217,83,27.9,Angry,221,83,28.4,06/04/2022 14:23:55,12,M
